Update 3:1 6:1 7:1 10:1 11:1 15:1 7392:1
# 1:1 2:1 16:1 50:1 251:1 7393:1
6 5:1 9:1 32:1 48:1 249:1 635:1
March 11:1 15:1 50:1 88:1 3512:1 5802:1
20 16:1 44:1 48:1 3510:1 5803:1
, 42:1 49:1 50:1 1334:1 3511:1
2003 43:1 48:1 95:1 1332:1
-RRB- 49:1 93:1 488:1 491:1 1333:1
< 10:1 50:1 94:1 486:1 489:1
http://www.hc-sc.gc.ca/pphb-dgspsp/tmp-pmv/2003/ars0320_e.html 2:1 48:1 487:1 490:1 491:1 497:1
> 9:1 49:1 89:1 489:1 495:1 503:1
-LSB- 65:1 68:1 87:1 490:1 496:1 501:1
The 11:1 26:1 63:1 66:1 88:1 502:1 1349:1
laboratory 24:1 64:1 67:1 83:1 1343:1 1347:1
results 25:1 81:1 611:1 1341:1 1348:1 13259:1
continue 82:1 113:1 116:1 609:1 1342:1 13257:1
to 111:1 114:1 610:1 611:1 3863:1 13258:1
point 68:1 112:1 115:1 173:1 609:1 3861:1
the 26:1 66:1 171:1 610:1 3443:1 3862:1
finger 24:1 67:1 125:1 172:1 3441:1 12491:1
towards 25:1 68:1 123:1 287:1 3442:1 12489:1
a 26:1 66:1 124:1 285:1 3551:1 12490:1
member 24:1 67:1 125:1 161:1 286:1 3549:1
of 25:1 68:1 123:1 159:1 173:1 3550:1
the 10:1 26:1 66:1 124:1 160:1 171:1
paramyxovirus 2:1 24:1 26:1 67:1 172:1 3245:1
family 9:1 24:1 25:1 62:1 3243:1
. 4:1 8:1 25:1 60:1 3244:1
In 3:1 7:1 11:1 68:1 123:1 173:1 1182:1
the 66:1 124:1 152:1 171:1 560:1 1183:1
above 26:1 67:1 150:1 172:1 558:1 1019:1
release 24:1 125:1 151:1 206:1 559:1 1017:1
from 17:1 25:1 123:1 204:1 1018:1 1310:1
Health 11:1 15:1 17:1 124:1 205:1 1308:1 5684:1
Canada 11:1 15:1 16:1 44:1 1309:1 5682:1
, 16:1 42:1 848:1 3566:1 5683:1
they 43:1 668:1 671:1 846:1 3564:1
have 140:1 666:1 669:1 847:1 3565:1 8402:1
identified 68:1 138:1 173:1 667:1 670:1 8400:1
the 26:1 66:1 86:1 139:1 171:1 8401:1
virus 24:1 67:1 84:1 125:1 158:1 172:1
as 25:1 68:1 85:1 123:1 156:1 287:1
a 66:1 124:1 152:1 157:1 188:1 285:1
human 10:1 26:1 67:1 150:1 186:1 286:1
metapneumovirus 2:1 24:1 89:1 151:1 187:1
-LRB- 9:1 10:1 25:1 26:1 87:1
hMPV 2:1 24:1 88:1 95:1
-RRB- 9:1 25:1 44:1 93:1
, 42:1 68:1 94:1 287:1
a 43:1 66:1 285:1 842:1
`` 10:1 67:1 286:1 491:1 840:1
newer 2:1 489:1 841:1 875:1
'' 9:1 26:1 490:1 873:1 3551:1
member 24:1 125:1 161:1 874:1 3549:1
of 25:1 68:1 123:1 159:1 173:1 3550:1
the 10:1 26:1 66:1 124:1 160:1 171:1
paramyxovirus 2:1 24:1 26:1 67:1 172:1 3245:1
family 9:1 24:1 25:1 62:1 3243:1
. 4:1 8:1 25:1 60:1 3244:1
One 3:1 7:1 11:1 48:1 125:1 161:1 537:1
of 49:1 68:1 123:1 159:1 173:1 538:1
the 66:1 124:1 160:1 171:1 491:1 13076:1
earlier 67:1 104:1 172:1 489:1 8948:1 13074:1
descriptions 102:1 125:1 161:1 490:1 8946:1 13075:1
of 68:1 103:1 123:1 159:1 173:1 8947:1
the 10:1 26:1 66:1 124:1 160:1 171:1
hMPV 2:1 24:1 67:1 89:1 172:1
-LRB- 9:1 25:1 26:1 87:1 3749:1
van 10:1 24:1 26:1 88:1 3747:1
den 2:1 10:1 17:1 24:1 25:1 3748:1
Hoogen 2:1 9:1 10:1 11:1 15:1 17:1 25:1
BG 2:1 9:1 11:1 15:1 16:1 44:1
, 9:1 16:1 42:1 1772:1 4121:1
et 43:1 1770:1 1772:1 4119:1 4124:1
al. 62:1 1770:1 1771:1 4120:1 4122:1
. 4:1 8:1 60:1 1771:1 4123:1
A 3:1 7:1 11:1 66:1 255:1 572:1 15422:1
newly 67:1 140:1 256:1 570:1 4679:1 15420:1
discovered 138:1 152:1 188:1 571:1 4677:1 15421:1
human 10:1 26:1 139:1 150:1 186:1 4678:1
pneumovirus 2:1 24:1 140:1 151:1 187:1 1784:1
isolated 9:1 25:1 125:1 138:1 206:1 1782:1
from 123:1 139:1 152:1 204:1 1783:1 2966:1
young 104:1 124:1 150:1 205:1 2543:1 2964:1
children 102:1 125:1 151:1 398:1 2541:1 2965:1
with 103:1 123:1 152:1 396:1 1550:1 2542:1
respiratory 26:1 124:1 150:1 397:1 1548:1 4439:1
tract 24:1 26:1 151:1 743:1 1549:1 4437:1
disease 24:1 25:1 62:1 741:1 4438:1
. 4:1 8:1 25:1 60:1 742:1
Nat 2:1 3:1 7:1 11:1 15:1 17:1 2813:1
Med 9:1 11:1 15:1 16:1 50:1 56:1 2811:1
2001 16:1 32:1 48:1 54:1 338:1 2812:1
; 30:1 49:1 50:1 55:1 182:1 336:1
7 31:1 48:1 89:1 180:1 337:1
-LRB- 49:1 50:1 87:1 181:1 251:1
6 48:1 88:1 95:1 249:1
-RRB- 32:1 49:1 93:1 250:1
: 10:1 30:1 50:1 94:1
719-24 2:1 31:1 48:1 95:1
-RRB- 9:1 49:1 93:1 110:1 275:1
was 94:1 107:1 108:1 140:1 273:1
reported 105:1 109:1 125:1 138:1 236:1 274:1
in 17:1 106:1 123:1 139:1 234:1 677:1
ProMED-mail 11:1 15:1 89:1 124:1 235:1 675:1
-LRB- 10:1 16:1 17:1 87:1 676:1
Paramyxoviruses 2:1 11:1 15:1 44:1 88:1
, 9:1 16:1 42:1 152:1 4067:1
new 43:1 150:1 152:1 188:1 4065:1
human 26:1 150:1 151:1 186:1 4066:1 15491:1
pathogen 24:1 32:1 151:1 187:1 635:1 15489:1
- 10:1 25:1 26:1 30:1 633:1 15490:1
Netherlands20010603 2:1 10:1 11:1 24:1 31:1 50:1 634:1
.1094 2:1 9:1 25:1 48:1 95:1
-RRB- 9:1 49:1 62:1 93:1
. 4:1 8:1 60:1 94:1
All 3:1 7:1 11:1 66:1 125:1 161:1 1995:1
of 67:1 68:1 123:1 159:1 323:1 1996:1
these 66:1 104:1 124:1 160:1 321:1 1343:1
results 67:1 102:1 322:1 671:1 1052:1 1341:1
are 74:1 103:1 669:1 1050:1 1342:1 3041:1
suggesting 72:1 491:1 670:1 1051:1 1058:1 3039:1
more 73:1 131:1 134:1 489:1 1056:1 3040:1
and 129:1 132:1 490:1 1057:1 1058:1 1061:1
more 125:1 130:1 133:1 515:1 1056:1 1059:1
that 68:1 123:1 173:1 513:1 1057:1 1060:1
the 10:1 26:1 66:1 124:1 171:1 514:1
paramxyovirus 2:1 24:1 26:1 67:1 172:1 3245:1
family 9:1 24:1 25:1 1010:1 1439:1 3243:1
may 25:1 611:1 734:1 1008:1 1437:1 3244:1
be 68:1 173:1 609:1 732:1 1009:1 1438:1
the 26:1 66:1 171:1 610:1 733:1 10154:1
etiology 24:1 67:1 125:1 161:1 172:1 10152:1
of 17:1 25:1 123:1 159:1 4559:1 10153:1
SARS 11:1 15:1 62:1 124:1 160:1 4557:1
. 4:1 8:1 16:1 60:1 4558:1
